name,_className,level,price,bulk,id,actions,activationType,usage,sourceBook,desc,savingThrow,stages/0,maxDuration,stages/1,stages/2,stages/3,stages/4,traits/0,traits/1,traits/2,traits/3,traits/4,traits/5,traits/6,hide
Rogue Poison,AlchemicalPoison,0,0,L,dc4f55f5-83d4-4188-a1b6-9b62bfd9273f,2A,Interact,held in 2 hands,,"These poisons deal 1d4 poison damage. Only you can apply these poisons properly, and they expire the next time you prepare.",,,,,,,,Alchemical,Consumable,Injury,Poison,,,,TRUE
Arsenic,AlchemicalPoison,1,300,L,b327fbc0-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,,This toxin is a compound of arsenic and other substances. You can't reduce your sickened condition while affected.,DC 18 Fortitude,10 minutes,5 minutes,1d4 poison damage and sickened 1 (1 minute),1d6 poison damage and sickened 2 (1 minute),2d6 poison damage and sickened 3 (1 minute),,Alchemical,Consumable,Ingested,Poison,,,,
Spear Frog Poison,AlchemicalPoison,1,300,L,b327fde6-b9ef-11ea-b3de-0242ac130004,2A,Interact,held in 2 hands,,A single spear frog yields enough toxin to Craft 1 dose of spear frog poison.,DC 15 Fortitude,,6 rounds,1d4 poison damage (1 round),1d6 poison damage and enfeebled 1 (1 round),,,Alchemical,Consumable,Injury,Poison,,,,
Giant Centipede Venom,AlchemicalPoison,1,400,L,b327ff44-b9ef-11ea-b3de-0242ac130004,3A,Interact,held in 2 hands,,Giant centipede venom causes severe muscle stiffness.,DC 17 Fortitude,,6 rounds,1d6 poison damage (1 round),1d8 poison damage and flat-footed (1 round),"1d12 poison damage, clumsy 1, and flat-footed (1 round)",,Alchemical,Consumable,Injury,Poison,,,,
Black Smear Poison,AlchemicalPoison,2,500,L,b32800b6-b9ef-11ea-b3de-0242ac130004,2A,Interact,held in 2 hands,Bestiary,Many calignis use a debilitating poison crafted from subterranean fungi.,DC 16 Fortitude,,6 rounds,1d6 poison and enfeebled 1 (1 round),As stage 1,"1d6 poison, and enfeebled 2 (1 round)",,Uncommon,Alchemical,Consumable,Injury,Poison,,,
Belladonna,AlchemicalPoison,2,500,L,b3280188-b9ef-11ea-b3de-0242ac130004,2A,Interact,held in 1 hand,,"Sometimes called “deadly nightshade,” belladonna is a widely available toxin produced from a plant similar to a tomato.",DC 19 Fortitude,10 minutes,30 minutes,dazzled (10 minutes),1d6 poison damage and sickened 1 (10 minutes),"1d6 poison damage, confused, and sickened 1 (1 minute)",,Alchemical,Consumable,Ingested,Poison,,,,
Black Adder Venom,AlchemicalPoison,2,600,L,f6eaf593-328d-4999-a771-d46c04bf408f,2A,Interact,held in 2 hands,,Adder venom is a simple but effective way to enhance a weapon.,DC 18 Fortitude,,3 rounds,1d8 poison damage (1 round),1d10 poison damage (1 round),2d6 poison damage (1 round),,Alchemical,Consumable,Injury,Poison,,,,
Toad Tears,AlchemicalPoison,2,600,L,b32802be-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,Bestiary 2,"Toad tears can be mixed with any other foodstuff or drink, but the poison can also be ingested as is. The process of refining giant toad poison lessens its deadly qualities, and as a result, toad tears are rarely directly fatal. Yet those who are exposed to toad tears often lose control of their actions, making it a dangerous poison nevertheless.",DC 19 Fortitude,5 minutes,30 minutes,stupefied 1 (10 minutes),stupefied 1 and confused (1 minute),,,Alchemical,Consumable,Ingested,Poison,,,,
Lethargy Poison,AlchemicalPoison,2,700,L,b328037c-b9ef-11ea-b3de-0242ac130004,2A,Interact,held in 2 hands,,Lethargy poison is commonly used in hit-and-run tactics by drow and others who want their victims alive; the ambusher retreats until the poison sets in and the victim falls unconscious. Further exposure to lethargy poison does not require the target to attempt additional saving throws; only failing an saving throw against an ongoing exposure can progress its stage.,DC 18 Fortitude,,4 hours,slowed 1 (1 round),slowed 1 (1 minute),unconscious with no Perception check to wake up (1 round),unconscious with no Perception check to wake up (1d4 hours).,Uncommon,Alchemical,Consumable,Incapacitation,Injury,Poison,Sleep,
Yellow Musk Vial,AlchemicalPoison,2,700,L,b32804a8-b9ef-11ea-b3de-0242ac130004,1A,Interact,held in 1 hand,Bestiary 2,The powdered pollen from a yellow musk creeper addles the mind.,DC 16 Will,,2 rounds,fascinated by the poison cloud (1 round),"fascinated by the poison cloud, and can use no actions but to move closer to the cloud's point of origin (1 round)",,,Alchemical,Consumable,Inhaled,Mental,Poison,,,
